timestamp,open,high,low,close,volume,returns,log_returns,price_change,price_change_pct,ma5,ma10,ma20,ema5,ema10,ema20,macd,macd_signal,macd_hist,tr,atr,bb_middle,bb_std,bb_upper,bb_lower,volume_ma5,volume_ma10,volume_change,volume_ratio
2023-10-04 04:00:00,27429.5,27452.9,27351.1,27452.9,307.25473394,0.0008567449524963244,0.0008563781560252434,23.400000000001455,0.000853096119141853,27383.440000000002,27508.47,27567.665,27442.708418196322,27494.644187832426,27483.13512790217,52.635721129292506,110.38477821080669,-57.74905708151418,101.80000000000291,348.4500000000002,27567.665,400.03216617377694,28367.729332347553,26767.60066765245,1005.7766119060001,1349.562231166,-0.7198547786792078,0.3054900365576566
2023-10-04 08:00:00,27453.0,27642.1,27430.5,27570.4,712.46549389,0.0042800578445263415,0.004270924448651158,117.40000000000146,0.004276399664881851,27429.7,27468.620000000003,27593.835,27485.27227879755,27508.41797186289,27491.446068101963,54.1490230266827,99.1376271739819,-44.9886041472992,211.59999999999854,334.70714285714297,27593.835,380.83751235374575,28355.51002470749,26832.159975292507,743.2702674599999,1127.7512655659998,1.3188104695862184,0.9585550843096818
2023-10-04 12:00:00,27570.4,27631.6,27326.6,27402.9,1014.30737861,-0.006075356179090607,-0.006093886244728345,-167.5,-0.006075356179090619,27456.28,27459.190000000002,27608.475,27457.8148525317,27489.232886069636,27483.01310923511,41.35575217105725,87.58125217339698,-46.22550000233973,305.0,319.7785714285715,27608.475,366.62594141856954,28341.726882837138,26875.22311716286,788.821273398,979.6843563429999,0.423658250551854,1.2858519576185807
2023-10-04 16:00:00,27402.9,27841.0,27397.8,27618.2,1212.9744321,0.007856832670994685,0.007826128481445404,215.29999999999927,0.007856832670994648,27494.760000000002,27460.840000000004,27629.810000000005,27511.276568354468,27512.68145223879,27495.88805121272,48.03617241612665,79.67223622194291,-31.636063805816264,443.2000000000007,330.3714285714286,27629.810000000005,353.2555223988195,28336.321044797645,26923.298955202365,868.75430744,963.7104172539999,0.1958647424632285,1.396222639372379
2023-10-04 20:00:00,27618.2,27831.0,27564.5,27782.0,644.79992434,0.005930871671578908,0.005913353284265033,163.79999999999927,0.00593087167157886,27565.28,27485.02,27661.260000000002,27601.517712236313,27561.648460922646,27523.13680824008,65.78936579997026,76.89566213754838,-11.10629633757813,266.5,305.17857142857144,27661.260000000002,336.157214785926,28333.574429571854,26988.94557042815,778.360392576,945.570835748,-0.4684142490755804,0.8284079335101072
2023-10-05 00:00:00,27782.1,27896.0,27651.1,27651.2,774.51928915,-0.004708084371175536,-0.004719202310254377,-130.89999999999782,-0.004711666864635785,27604.940000000002,27494.190000000002,27688.775,27618.07847482421,27577.93055893671,27535.333302693405,68.51463849899301,75.21945740983732,-6.70481891084431,244.90000000000146,287.5428571428573,27688.775,309.32763736343,28307.430274726863,27070.11972527314,871.813303618,938.7949577619999,0.2011776985594056,0.8884004017095947
2023-10-05 04:00:00,27651.2,27700.0,27552.0,27604.6,495.84283786,-0.0016852794815415129,-0.0016867011625180093,-46.60000000000218,-0.001685279481541567,27611.78,27520.74,27669.245000000003,27613.58564988281,27582.779548220944,27541.930131008317,66.15165114353658,73.40589615657717,-7.254245013040588,148.0,248.9285714285717,27669.245000000003,301.1861541428625,28271.617308285728,27066.872691714278,828.4887724119999,785.879519936,-0.359805695214944,0.598490715108233
2023-10-05 08:00:00,27604.7,27770.6,27594.5,27729.7,608.40854798,0.004531853386754436,0.00452161545873428,125.0,0.004528214398272758,27677.140000000003,27566.71,27649.235000000004,27652.29043325521,27609.492357635318,27559.81297567419,73.52592998306864,73.42990292187547,0.09602706119316906,176.09999999999854,243.37857142857138,27649.235000000004,281.629905101302,28212.494810202606,27085.975189797402,747.3090062859999,768.0651398419999,0.22701892923536127,0.8141324978855643
2023-10-05 12:00:00,27729.7,28127.0,27396.6,27549.7,4100.56644841,-0.00649123502958926,-0.006512394713720671,-180.0,-0.006491235029589213,27663.439999999995,27579.1,27610.920000000002,27618.09362217014,27598.62101988344,27558.84983513379,64.10662217947538,71.56524677339546,-7.458624593920078,730.4000000000015,284.97857142857146,27610.920000000002,234.2921626382001,28079.5043252764,27142.335674723603,1324.8274095479999,1096.790858494,5.73982386017495,3.0951702983024916
2023-10-05 16:00:00,27549.7,27615.1,27350.0,27471.9,1853.51956933,-0.002823987194052857,-0.0028279821688333364,-77.79999999999927,-0.002823987194052903,27601.420000000002,27583.35,27574.57,27569.362414780095,27575.580834450087,27550.56889845438,49.78999501507133,67.21019642173063,-17.420201406659302,265.09999999999854,292.0571428571428,27574.57,190.58678945769228,27955.743578915386,27193.396421084613,1566.5713385459999,1172.4658655609999,-0.5479845058848627,1.18316959063628
